t,u,v,r,X,Y,Z
5727.227449417114,293,300,35.54,-7.475754811232116,-17.16087819137596,134.26308223737317
5760.123252868652,290,290,35.03,-8.427326608658907,-14.508935458214426,136.2178116676061
5792.055606842041,289,280,34.62,-8.811367980108772,-11.744610262305057,137.8310208756858
5824.302434921265,290,273,34.8,-8.483024456934528,-9.639186379506492,137.11810180219086
5856.27007484436,290,268,35.16,-8.396167551232127,-8.094962602295244,135.71416219329473
5904.393672943115,290,262,35.19,-8.389009693132186,-6.354905484641961,135.59846384530385
5936.262607574463,290,256,34.88,-8.463567978822292,-4.662825771571113,136.80361074301152
5966.82333946228,289,248,34.39,-8.87029832716969,-2.3646316212910796,138.75283346078052
5999.786615371704,287,240,34.02,-9.545272669354901,0.0,140.26190307807883
6030.251979827881,286,233,34.09,-9.814329263170952,2.087260817664277,139.9738909567686
6063.41290473938,287,226,34.52,-9.407015533356132,4.122521510670636,138.2302996151866
6096.588850021362,287,219,34.62,-9.379843333664175,6.165920387710155,137.8310208756858
6128.200531005859,289,211,34.3,-8.893573162430485,8.594281203461394,139.11690795091087
6160.068511962891,290,203,34.13,-8.649553211289819,11.019734155725928,139.80984303299857
6190.9942626953125,286,196,34.44,-9.714590144642793,12.986592567047074,138.55139206493155
6240.660190582275,283,188,34.72,-10.486503735358006,15.224018705797853,137.43404212892403
6272.212743759155,282,181,34.6,-10.807275088487685,17.333313605187186,137.91069198601855
6304.252624511719,282,175,34.43,-10.860636597783156,19.190311119129447,138.5916335380843
6335.068464279175,279,169,34.56,-11.67397694362865,20.88287537395188,138.07031084248385
6366.4233684539795,276,164,34.65,-12.495629676246416,22.295439360285776,137.71168665847742
6398.737907409668,277,160,34.4,-12.300385462555067,23.639442283779136,138.7124983347745
6430.734395980835,278,156,34.09,-12.12358320744647,25.04712981197132,139.9738909567686
6463.23037147522,278,152,33.82,-12.220371127789777,26.44933459545247,141.09136436180492
6493.595600128174,278,149,33.67,-12.274812935605885,27.4728653568244,141.7199270185994
6543.7171459198,277,145,33.73,-12.544715680755834,28.6294461100616,141.46783109149845
6575.929880142212,276,143,34.0,-12.734516714174656,29.00003346048317,140.34441007988949
6608.565330505371,279,141,34.03,-11.855793216920546,29.571879459902373,140.2206859452319
6640.255451202393,280,140,33.99,-11.580239329266316,29.90573751699037,140.3856999916517
6670.795202255249,278,139,33.98,-12.162829651025612,30.213683884182693,140.42701420589296
6703.081846237183,276,138,33.9,-12.77208166023417,30.584835945916012,140.75840538985966
6735.103130340576,276,138,33.81,-12.806080102985455,30.666250770971683,141.13309502266316
6767.772436141968,277,138,33.83,-12.507634050011655,30.648121151834253,141.04965837174822
6800.038814544678,278,139,33.95,-12.17357736500295,30.240382279367534,140.55110287823982
6832.2601318359375,279,140,33.92,-11.89424065954617,29.967453366819065,140.67541104705901
6879.957437515259,280,141,33.76,-11.659133139862622,29.80838442003785,141.3421191562868
6911.916494369507,281,142,33.73,-11.377765384871571,29.53353388195828,141.46783109149845
6944.035053253174,281,141,33.76,-11.367654811366055,29.80838442003785,141.3421191562868
6974.738359451294,281,141,33.83,-11.344133208150106,29.74670582383913,141.04965837174822
7007.66658782959,281,140,33.75,-11.37102300538424,30.118400539333418,141.38399830270347
7039.22176361084,281,140,33.74,-11.37439319596082,30.127327154786688,141.42590227374754
7072.0860958099365,280,140,33.68,-11.686827042807664,30.180998165157447,141.67784865547037
7103.385448455811,282,141,33.61,-11.125608987255996,29.941417971451287,141.9729230204178
7134.691953659058,284,141,33.65,-10.527521584593933,29.905826389910185,141.8041587731424
7168.063402175903,284,140,33.7,-10.511902116367532,30.163086593546073,141.59376684617928
7216.455936431885,282,138,33.61,-11.125608987255996,30.84873366755587,141.9729230204178
7248.3811378479,280,135,33.52,-11.7426114201003,31.841313219350468,142.35411523616472
7255.226135253906,280,135,33.52,-11.7426114201003,31.841313219350468,142.35411523616472
7311.9072914123535,276,128,33.54,-12.909170193259936,33.94381456132388,142.26922906130716
7343.984603881836,275,125,33.6,-13.17898442416614,34.79078633728804,142.0151768665548
7374.572515487671,275,123,33.71,-13.135979728626,35.28034237012543,141.55176335556934
7406.010627746582,277,122,33.79,-12.522440364365027,35.497641357767186,141.216630444399
7438.999891281128,279,122,33.75,-11.95415239027574,35.539712636413434,141.38399830270347
7472.034215927124,281,124,33.77,-11.364288612132603,34.91665327553755,141.30026481244423
7519.672632217407,282,125,33.67,-11.105783132214848,34.71845622016271,141.7199270185994
7553.179025650024,283,125,33.39,-10.904205142007486,35.009596314252114,142.90835407955203
7560.427188873291,283,125,33.39,-10.904205142007486,35.009596314252114,142.90835407955203
7583.137273788452,284,126,33.15,-10.686307732174537,34.95642415538019,143.94298469732254
7615.895748138428,283,126,33.17,-10.976527274393426,34.93534702293799,143.8561936302756
7647.893905639648,283,126,33.18,-10.973219098602469,34.92481798525778,143.81283733322007
7712.048530578613,287,129,32.88,-9.876221904241293,34.31601521304069,145.12499825779324
7744.114637374878,287,130,32.82,-9.894277154523271,34.0690316886884,145.39030904071427
7775.049209594727,288,130,32.85,-9.585688518764373,34.03791841773982,145.25753250277754
7807.317495346069,286,128,32.89,-10.17240755796588,34.614640936053604,145.080873904416
7855.647325515747,280,128,32.85,-11.982110648455466,34.656789661698724,145.25753250277754
7888.302564620972,274,126,32.81,-13.796226303627746,35.31866689274164,145.43462184444505
7896.917343139648,274,126,32.81,-13.796226303627746,35.31866689274164,145.43462184444505
7918.449401855469,265,124,33.06,-16.370748951978914,35.66652695447378,144.33484400230617
7951.749324798584,259,123,33.37,-17.987977541884543,35.63980645181086,142.99400487612354
7984.0075969696045,258,121,33.74,-18.082368670501815,35.85151931419616,141.42590227374754
