t,u0,v0,u1,v1,u2,v2,u3,v3,X,Y,Z,Roll,Pitch,Yaw
4111.756324768066,0,0,0,0,0,0,0,0,-16.738586355528312,12.195809140166315,-1.4539945839642399,-0.26328468805454963,0.548665322331608,-1.5317803631107791
4143.022537231445,0,0,0,0,0,0,0,0,-16.738586355528312,12.195809140166315,-1.4539945839642399,-0.26328468805454963,0.548665322331608,-1.5317803631107791
4175.0500202178955,0,0,0,0,0,0,0,0,-16.738586355528312,12.195809140166315,-1.4539945839642399,-0.26328468805454963,0.548665322331608,-1.5317803631107791
4206.979513168335,0,0,0,0,0,0,0,0,-16.738586355528312,12.195809140166315,-1.4539945839642399,-0.26328468805454963,0.548665322331608,-1.5317803631107791
4239.125490188599,0,0,0,0,0,0,0,0,-16.738586355528312,12.195809140166315,-1.4539945839642399,-0.26328468805454963,0.548665322331608,-1.5317803631107791
4270.922422409058,0,0,0,0,0,0,0,0,-16.738586355528312,12.195809140166315,-1.4539945839642399,-0.26328468805454963,0.548665322331608,-1.5317803631107791
4320.156574249268,0,0,0,0,0,0,0,0,-16.738586355528312,12.195809140166315,-1.4539945839642399,-0.26328468805454963,0.548665322331608,-1.5317803631107791
4352.105379104614,0,0,0,0,0,0,0,0,-16.738586355528312,12.195809140166315,-1.4539945839642399,-0.26328468805454963,0.548665322331608,-1.5317803631107791
4366.836309432983,0,0,0,0,0,0,0,0,-16.738586355528312,12.195809140166315,-1.4539945839642399,-0.26328468805454963,0.548665322331608,-1.5317803631107791
4415.462255477905,0,0,0,0,0,0,0,0,-16.738586355528312,12.195809140166315,-1.4539945839642399,-0.26328468805454963,0.548665322331608,-1.5317803631107791
4446.782112121582,0,0,0,0,0,0,0,0,-16.738586355528312,12.195809140166315,-1.4539945839642399,-0.26328468805454963,0.548665322331608,-1.5317803631107791
4479.526519775391,0,0,0,0,0,0,0,0,-16.738586355528312,12.195809140166315,-1.4539945839642399,-0.26328468805454963,0.548665322331608,-1.5317803631107791
4511.677980422974,0,0,0,0,0,0,0,0,-16.738586355528312,12.195809140166315,-1.4539945839642399,-0.26328468805454963,0.548665322331608,-1.5317803631107791
4542.815923690796,0,0,0,0,0,0,0,0,-16.738586355528312,12.195809140166315,-1.4539945839642399,-0.26328468805454963,0.548665322331608,-1.5317803631107791
4575.0486850738525,0,0,0,0,0,0,0,0,-16.738586355528312,12.195809140166315,-1.4539945839642399,-0.26328468805454963,0.548665322331608,-1.5317803631107791
4607.077360153198,0,0,0,0,0,0,0,0,-16.738586355528312,12.195809140166315,-1.4539945839642399,-0.26328468805454963,0.548665322331608,-1.5317803631107791
4655.656099319458,0,0,0,0,0,0,0,0,-16.738586355528312,12.195809140166315,-1.4539945839642399,-0.26328468805454963,0.548665322331608,-1.5317803631107791
4696.45094871521,201,352,206,318,0,0,0,0,-16.738586355528312,12.195809140166315,-1.4539945839642399,-0.26328468805454963,0.548665322331608,-1.5317803631107791
4706.565141677856,201,352,206,318,0,0,0,0,-16.738586355528312,12.195809140166315,-1.4539945839642399,-0.26328468805454963,0.548665322331608,-1.5317803631107791
4723.860740661621,206,354,209,320,412,321,414,355,-23.000488716875935,765.105308947316,-158.55539233542117,-1.2616890406463057,-0.07556001594948483,-0.18051639228701294
4753.517150878906,210,354,213,319,414,321,416,355,-20.782884542987357,668.7657357581146,-138.173852359826,-1.311336353202385,-0.10937041579403861,-0.29804978454920134
4814.52751159668,416,348,415,316,412,188,411,158,-28.599822136166516,-152.19237254997051,-26.587950420488113,0.223757672822082,1.244865972002495,-1.7578754063168354
4847.347974777222,417,349,412,156,224,156,222,349,-0.37970133882538093,145.70044186936872,-3.3323211246038875,0.0852283993150671,-0.0,3.141592653589793
4879.795074462891,417,348,415,157,224,157,225,349,0.1508934519498384,147.11512544938796,-3.916593509202446,0.012592317380733586,0.0022579598998625767,-3.1284052792949004
4910.610914230347,387,345,387,155,223,155,387,186,0.6656270278013685,4.81749722938304,-1.0775623729574397,-3.141592653589793,-0.9214607721828689,1.4334969930764863
